issue_id,risk_level,trial_blocker,issue_type,cost_item_id,related_item_ids,status,source,item_name,spec,unit,price,quote_usage_count,latest_quote_used_at,evidence,suggested_action,owner,done,notes
BIZ2T-0042,medium,no,missing_spec,179,,active,imported,拆除石膏线（不分规格）,,m,1.0,3,2026-05-22T14:09:11,"{""latest_quote_used_at"": ""2026-05-22T14:09:11"", ""quote_usage_count"": 3}",如该条目确实不区分规格可保留；否则建议补齐，便于报价依据解释。,cost_department,,
BIZ2T-0043,medium,no,missing_spec,180,,active,imported,窗帘盒/灯槽拆除,,m,6.0,35,2026-05-27T17:29:23,"{""latest_quote_used_at"": ""2026-05-27T17:29:23"", ""quote_usage_count"": 35}",如该条目确实不区分规格可保留；否则建议补齐，便于报价依据解释。,cost_department,,
BIZ2T-0044,medium,no,missing_spec,181,,active,imported,拆除轻钢龙骨石膏板、埃特板吊顶或轻钢龙骨铝扣板、铝塑板吊顶或轻钢龙骨木饰面吊顶,,㎡,10.0,1,2026-05-22T14:09:11,"{""latest_quote_used_at"": ""2026-05-22T14:09:11"", ""quote_usage_count"": 1}",如该条目确实不区分规格可保留；否则建议补齐，便于报价依据解释。,cost_department,,
BIZ2T-0048,medium,no,missing_spec,185,,active,imported,"拆除原有水箱座厕,清理,搬运",,套,30.0,1,2026-05-22T14:09:11,"{""latest_quote_used_at"": ""2026-05-22T14:09:11"", ""quote_usage_count"": 1}",如该条目确实不区分规格可保留；否则建议补齐，便于报价依据解释。,cost_department,,
BIZ2T-0051,medium,no,missing_spec,188,,active,imported,"拆除原有洗手盆,清理,搬运",,套,11.0,1,2026-05-22T14:09:11,"{""latest_quote_used_at"": ""2026-05-22T14:09:11"", ""quote_usage_count"": 1}",如该条目确实不区分规格可保留；否则建议补齐，便于报价依据解释。,cost_department,,
BIZ2T-0053,medium,no,missing_spec,190,,active,imported,"拆除原有冷热水龙头,清理",,套,3.0,5,2026-05-27T09:11:10,"{""latest_quote_used_at"": ""2026-05-27T09:11:10"", ""quote_usage_count"": 5}",如该条目确实不区分规格可保留；否则建议补齐，便于报价依据解释。,cost_department,,
BIZ2T-0060,medium,no,unit_needs_review,206,,active,manual,高空局部防尘围挡加固,4m以上作业面，含膨胀螺栓、收边和二次固定；未在底层成本库中匹配到该项目，建议人工补充单价,处,100.0,2,2026-05-27T17:29:23,"{""latest_quote_used_at"": ""2026-05-27T17:29:23"", ""quote_usage_count"": 2, ""unit_key"": ""处""}",如属于 m/㎡/m³/kg/项/套/个等常见口径，请统一写法；特殊单位可保留。,cost_department,,
BIZ2T-0061,medium,no,unit_needs_review,207,,active,manual,高空局部防尘围挡加固,4m以上作业面，含膨胀螺栓、收边和二次固定；4m以上作业面，含膨胀螺栓、收边和二次固定；无底价新项，需人工定价,处,100.0,1,2026-05-27T17:27:49,"{""latest_quote_used_at"": ""2026-05-27T17:27:49"", ""quote_usage_count"": 1, ""unit_key"": ""处""}",如属于 m/㎡/m³/kg/项/套/个等常见口径，请统一写法；特殊单位可保留。,cost_department,,
BIZ2T-0062,medium,no,unit_needs_review,208,,active,ai_suggested,甲方指定品牌成品检修口更换,300x300，品牌待甲方确认，含拆旧与安装；未在现有成本库中找到匹配项，需人工估价；300x300，品牌待甲方确认，含拆旧与安装,处,100.0,2,2026-05-27T17:29:23,"{""latest_quote_used_at"": ""2026-05-27T17:29:23"", ""quote_usage_count"": 2, ""unit_key"": ""处""}",如属于 m/㎡/m³/kg/项/套/个等常见口径，请统一写法；特殊单位可保留。,cost_department,,
BIZ2T-0069,medium,no,similar_active_items,35,"35,36",active,imported,轻钢龙骨石膏板平面天花          (不含乳胶漆)间距300*600,"1、卡式主骨/U型50系列轻钢龙骨、50付骨
2、龙牌/可耐福/拉法基牌纸面12厘石膏板1220*2440",㎡,95.2692,2,2026-05-25T08:52:46,"{""latest_quote_used_at"": ""2026-05-25T08:52:46"", ""left"": {""category"": ""第三章、天棚工程"", ""client_auxiliary_material_price"": 1.8, ""client_labor_price"": 48.0, ""client_main_material_price"": 41.8399, ""client_tax_excluded_price"": 101.0, ""crew_benchmark_price"": 105.0, ""id"": 35, ""item_name"": ""轻钢龙骨石膏板平面天花          (不含乳胶漆)间距300*600"", ""notes"": ""编号: 3-1\n计算规则: 按实做面层面积计算\n工作内容: 1、吊件加工、安装、定位、弹线、选料、下料、定位杆控制高度、平整、安装龙骨及吊配附件、孔洞预留等；2、临时加固、调整、校正；3、灯箱风口封边、龙骨设置；4、预留位置、整体调整，安装天棚面层石膏板\n对甲备注: 1、防水石膏板主材费用增加10元：\n2、如为双层普通石膏板（主材费+人工费）增加20 元/m2"", ""price"": 95.2692, ""source"": ""imported"", ""spec"": ""1、卡式主骨/U型50系列轻钢龙骨、50付骨\n2、龙牌/可耐福/拉法基牌纸面12厘石膏板1220*2440"", ""status"": ""active"", ""subcategory"": """", ""subcontract_auxiliary_material_price"": 1.87129, ""subcontract_composite_price"": 95.2692, ""subcontract_labor_price"": 49.901, ""subcontract_main_material_price"": 43.4969, ""unit"": ""㎡""}, ""quote_usage_count"": 2, ""right"": {""category"": ""第三章、天棚工程"", ""client_auxiliary_material_price"": 1.8, ""client_labor_price"": 48.0, ""client_main_material_price"": 51.8399, ""client_tax_excluded_price"": 112.0, ""crew_benchmark_price"": 110.0, ""id"": 36, ""item_name"": ""轻钢龙骨防水石膏板平面天花 (不含乳胶漆)间距300*600"", ""notes"": ""编号: 3-1a\n计算规则: 按实做面层面积计算\n工作内容: 1、吊件加工、安装、定位、弹线、选料、下料、定位杆控制高度、平整、安装龙骨及吊配附件、孔洞预留等；2、临时加固、调整、校正；3、灯箱风口封边、龙骨设置；4、预留位置、整体调整，安装天棚面层石膏板"", ""price"": 99.8249, ""source"": ""imported"", ""spec"": ""1、卡式主骨/U型50系列轻钢龙骨、50付骨\n2、龙牌/可耐福/拉法基牌纸面12厘防水石膏板1220*2440"", ""status"": ""active"", ""subcategory"": """", ""subcontract_auxiliary_material_price"": 1.76786, ""subcontract_composite_price"": 99.8249, ""subcontract_labor_price"": 47.1429, ""subcontract_main_material_price"": 50.9142, ""unit"": ""㎡""}, ""similarity"": 0.965}",请人工确认是否为合理拆分，或后续需要合并/补充规格说明。,cost_department,,
BIZ2T-0070,medium,no,similar_active_items,35,"35,37",active,imported,轻钢龙骨石膏板平面天花          (不含乳胶漆)间距300*600,"1、卡式主骨/U型50系列轻钢龙骨、50付骨
2、龙牌/可耐福/拉法基牌纸面12厘石膏板1220*2440",㎡,95.2692,2,2026-05-25T08:52:46,"{""latest_quote_used_at"": ""2026-05-25T08:52:46"", ""left"": {""category"": ""第三章、天棚工程"", ""client_auxiliary_material_price"": 1.8, ""client_labor_price"": 48.0, ""client_main_material_price"": 41.8399, ""client_tax_excluded_price"": 101.0, ""crew_benchmark_price"": 105.0, ""id"": 35, ""item_name"": ""轻钢龙骨石膏板平面天花          (不含乳胶漆)间距300*600"", ""notes"": ""编号: 3-1\n计算规则: 按实做面层面积计算\n工作内容: 1、吊件加工、安装、定位、弹线、选料、下料、定位杆控制高度、平整、安装龙骨及吊配附件、孔洞预留等；2、临时加固、调整、校正；3、灯箱风口封边、龙骨设置；4、预留位置、整体调整，安装天棚面层石膏板\n对甲备注: 1、防水石膏板主材费用增加10元：\n2、如为双层普通石膏板（主材费+人工费）增加20 元/m2"", ""price"": 95.2692, ""source"": ""imported"", ""spec"": ""1、卡式主骨/U型50系列轻钢龙骨、50付骨\n2、龙牌/可耐福/拉法基牌纸面12厘石膏板1220*2440"", ""status"": ""active"", ""subcategory"": """", ""subcontract_auxiliary_material_price"": 1.87129, ""subcontract_composite_price"": 95.2692, ""subcontract_labor_price"": 49.901, ""subcontract_main_material_price"": 43.4969, ""unit"": ""㎡""}, ""quote_usage_count"": 2, ""right"": {""category"": ""第三章、天棚工程"", ""client_auxiliary_material_price"": 1.8, ""client_labor_price"": 58.0, ""client_main_material_price"": 51.8399, ""client_tax_excluded_price"": 123.0, ""crew_benchmark_price"": 117.0, ""id"": 37, ""item_name"": ""轻钢龙骨双层石膏板平面天花 (不含乳胶漆)间距300*600"", ""notes"": ""编号: 3-1b\n计算规则: 按实做面层面积计算\n工作内容: 1、吊件加工、安装、定位、弹线、选料、下料、定位杆控制高度、平整、安装龙骨及吊配附件、孔洞预留等；2、临时加固、调整、校正；3、灯箱风口封边、龙骨设置；4、预留位置、整体调整，安装天棚面层石膏板"", ""price"": 106.194, ""source"": ""imported"", ""spec"": ""1、卡式主骨/U型50系列轻钢龙骨、50付骨\n2、龙牌/可耐福/拉法基牌纸面12厘石膏板1220*2440（双层）"", ""status"": ""active"", ""subcategory"": """", ""subcontract_auxiliary_material_price"": 1.7122, ""subcontract_composite_price"": 106.194, ""subcontract_labor_price"": 55.1707, ""subcontract_main_material_price"": 49.3111, ""unit"": ""㎡""}, ""similarity"": 0.965}",请人工确认是否为合理拆分，或后续需要合并/补充规格说明。,cost_department,,
BIZ2T-0073,medium,no,similar_active_items,46,"46,47",active,imported,夹板窗帘盒,"1、L型灯槽制安：含龙骨、辅助夹板及封石膏板
2、展开宽度450mm以内
3、不含乳胶漆",m,43.2663,2,2026-05-25T08:52:46,"{""latest_quote_used_at"": ""2026-05-25T08:52:46"", ""left"": {""category"": ""第三章、天棚工程"", ""client_auxiliary_material_price"": 2.0, ""client_labor_price"": 29.744, ""client_main_material_price"": 14.2265, ""client_tax_excluded_price"": 51.0, ""crew_benchmark_price"": 48.0, ""id"": 46, ""item_name"": ""夹板窗帘盒"", ""notes"": ""编号: 3-16\n计算规则: 按延长米计\n工作内容: 定位、弹线、制作、安装、固定盖板等"", ""price"": 43.2663, ""source"": ""imported"", ""spec"": ""1、L型灯槽制安：含龙骨、辅助夹板及封石膏板\n2、展开宽度450mm以内\n3、不含乳胶漆"", ""status"": ""active"", ""subcategory"": """", ""subcontract_auxiliary_material_price"": 1.88235, ""subcontract_composite_price"": 43.2663, ""subcontract_labor_price"": 27.9944, ""subcontract_main_material_price"": 13.3896, ""unit"": ""m""}, ""quote_usage_count"": 2, ""right"": {""category"": ""第三章、天棚工程"", ""client_auxiliary_material_price"": 2.0, ""client_labor_price"": 29.744, ""client_main_material_price"": 22.3495, ""client_tax_excluded_price"": 60.0, ""crew_benchmark_price"": 55.0, ""id"": 47, ""item_name"": ""夹板窗帘盒"", ""notes"": ""编号: 3-17\n计算规则: 按延长米计\n工作内容: 定位、弹线、制作、安装、固定盖板等"", ""price"": 49.5857, ""source"": ""imported"", ""spec"": ""1、L型灯槽制安：含龙骨、辅助夹板及封石膏板\n2、展开宽度450mm以外\n3、不含乳胶漆"", ""status"": ""active"", ""subcategory"": """", ""subcontract_auxiliary_material_price"": 1.83333, ""subcontract_composite_price"": 49.5857, ""subcontract_labor_price"": 27.2653, ""subcontract_main_material_price"": 20.487, ""unit"": ""m""}, ""similarity"": 1.0}",请人工确认是否为合理拆分，或后续需要合并/补充规格说明。,cost_department,,
BIZ2T-0075,medium,no,similar_active_items,51,"51,52",active,imported,夹板底木饰面天花吊顶   （轻钢龙骨12mm夹板底，木饰面面层）,"1、卡式主骨/U型50系列轻钢龙骨、50付骨12厘夹板1220*2440、面贴3厘饰面板、油漆
2、防腐处理、面层打磨刷清漆 ~（压皮/饰面~视工艺做法实际调整）现场制安",㎡,181.723,4,2026-05-27T09:11:09,"{""latest_quote_used_at"": ""2026-05-27T09:11:09"", ""left"": {""category"": ""第三章、天棚工程"", ""client_auxiliary_material_price"": 10.0, ""client_labor_price"": 150.08, ""client_main_material_price"": 100.692, ""client_tax_excluded_price"": 287.0, ""crew_benchmark_price"": 200.0, ""id"": 51, ""item_name"": ""夹板底木饰面天花吊顶   （轻钢龙骨12mm夹板底，木饰面面层）"", ""notes"": ""编号: 3-21\n计算规则: 按实做面层面积计算\n工作内容: 1、吊件加工、安装、定位、弹线、选料、下料、定位杆控制高度、平整、安装龙骨及吊配附件、孔洞预留等；2、临时加固、调整、校正；3、灯箱风口封边、龙骨设置；4、安装天棚夹板基层、木饰面层；5、面层油清漆（清扫、磨砂纸、润油粉、刮腻子、刷底漆、面漆等）"", ""price"": 181.723, ""source"": ""imported"", ""spec"": ""1、卡式主骨/U型50系列轻钢龙骨、50付骨12厘夹板1220*2440、面贴3厘饰面板、油漆\n2、防腐处理、面层打磨刷清漆 ~（压皮/饰面~视工艺做法实际调整）现场制安"", ""status"": ""active"", ""subcategory"": """", ""subcontract_auxiliary_material_price"": 6.96864, ""subcontract_composite_price"": 181.723, ""subcontract_labor_price"": 104.585, ""subcontract_main_material_price"": 70.1686, ""unit"": ""㎡""}, ""quote_usage_count"": 4, ""right"": {""category"": ""第三章、天棚工程"", ""client_auxiliary_material_price"": 12.0, ""client_labor_price"": 180.0, ""client_main_material_price"": 90.5818, ""client_tax_excluded_price"": 311.0, ""crew_benchmark_price"": 220.0, ""id"": 52, ""item_name"": ""夹板底木拼纹饰面天花吊顶   （轻钢龙骨12mm夹板底，木饰面面层）"", ""notes"": ""编号: 3-22\n计算规则: 按实做面层面积计算"", ""price"": 199.897, ""source"": ""imported"", ""spec"": ""1、卡式主骨/U型50系列轻钢龙骨、50付骨12厘夹板1220*2440、面贴3厘饰面板、油漆\n2、防腐处理、面层打磨刷清漆 ~（压皮/饰面~视工艺做法实际调整）现场制安"", ""status"": ""active"", ""subcategory"": """", ""subcontract_auxiliary_material_price"": 8.48875, ""subcontract_composite_price"": 199.897, ""subcontract_labor_price"": 127.331, ""subcontract_main_material_price"": 64.0772, ""unit"": ""㎡""}, ""similarity"": 0.9704}",请人工确认是否为合理拆分，或后续需要合并/补充规格说明。,cost_department,,
BIZ2T-0123,medium,no,similar_active_items,176,"176,177",active,imported,拆砖墙（120厚砖墙）,,㎡,16.0,4,2026-05-22T14:09:11,"{""latest_quote_used_at"": ""2026-05-22T14:09:11"", ""left"": {""category"": ""第十二章、独立措施及配管费项目"", ""client_auxiliary_material_price"": null, ""client_labor_price"": 14.55, ""client_main_material_price"": null, ""client_tax_excluded_price"": 16.0, ""crew_benchmark_price"": null, ""id"": 176, ""item_name"": ""拆砖墙（120厚砖墙）"", ""notes"": ""编号: 12-7\n工作内容: 拆除砖墙体、清理基层、废渣堆放"", ""price"": 16.0, ""source"": ""imported"", ""spec"": """", ""status"": ""active"", ""subcategory"": """", ""subcontract_auxiliary_material_price"": null, ""subcontract_composite_price"": null, ""subcontract_labor_price"": null, ""subcontract_main_material_price"": null, ""unit"": ""㎡""}, ""quote_usage_count"": 4, ""right"": {""category"": ""第十二章、独立措施及配管费项目"", ""client_auxiliary_material_price"": null, ""client_labor_price"": 16.73, ""client_main_material_price"": null, ""client_tax_excluded_price"": 18.0, ""crew_benchmark_price"": null, ""id"": 177, ""item_name"": ""拆砖墙（180厚砖墙）"", ""notes"": ""编号: 12-8\n工作内容: 拆除砖墙体、清理基层、废渣堆放"", ""price"": 18.0, ""source"": ""imported"", ""spec"": """", ""status"": ""active"", ""subcategory"": """", ""subcontract_auxiliary_material_price"": null, ""subcontract_composite_price"": null, ""subcontract_labor_price"": null, ""subcontract_main_material_price"": null, ""unit"": ""㎡""}, ""similarity"": 0.8889}",请人工确认是否为合理拆分，或后续需要合并/补充规格说明。,cost_department,,
BIZ2T-0124,medium,no,similar_active_items,185,"185,187",active,imported,"拆除原有水箱座厕,清理,搬运",,套,30.0,1,2026-05-22T14:09:11,"{""latest_quote_used_at"": ""2026-05-22T14:09:11"", ""left"": {""category"": ""第十二章、独立措施及配管费项目"", ""client_auxiliary_material_price"": null, ""client_labor_price"": 27.5, ""client_main_material_price"": null, ""client_tax_excluded_price"": 30.0, ""crew_benchmark_price"": null, ""id"": 185, ""item_name"": ""拆除原有水箱座厕,清理,搬运"", ""notes"": ""编号: 12-16\n工作内容: 拆除水箱座厕、清理基层、废料堆放"", ""price"": 30.0, ""source"": ""imported"", ""spec"": """", ""status"": ""active"", ""subcategory"": """", ""subcontract_auxiliary_material_price"": null, ""subcontract_composite_price"": null, ""subcontract_labor_price"": null, ""subcontract_main_material_price"": null, ""unit"": ""套""}, ""quote_usage_count"": 1, ""right"": {""category"": ""第十二章、独立措施及配管费项目"", ""client_auxiliary_material_price"": null, ""client_labor_price"": 43.3333, ""client_main_material_price"": null, ""client_tax_excluded_price"": 48.0, ""crew_benchmark_price"": null, ""id"": 187, ""item_name"": ""拆除原有水箱蹲厕,清理,搬运"", ""notes"": ""编号: 12-18\n工作内容: 拆除水箱蹲厕、清理基层、废料堆放"", ""price"": 48.0, ""source"": ""imported"", ""spec"": """", ""status"": ""active"", ""subcategory"": """", ""subcontract_auxiliary_material_price"": null, ""subcontract_composite_price"": null, ""subcontract_labor_price"": null, ""subcontract_main_material_price"": null, ""unit"": ""套""}, ""similarity"": 0.9167}",请人工确认是否为合理拆分，或后续需要合并/补充规格说明。,cost_department,,
BIZ2T-0126,medium,no,similar_active_items,206,"206,207",active,manual,高空局部防尘围挡加固,4m以上作业面，含膨胀螺栓、收边和二次固定；未在底层成本库中匹配到该项目，建议人工补充单价,处,100.0,2,2026-05-27T17:29:23,"{""latest_quote_used_at"": ""2026-05-27T17:29:23"", ""left"": {""category"": ""待审核报价沉淀"", ""client_auxiliary_material_price"": null, ""client_labor_price"": null, ""client_main_material_price"": null, ""client_tax_excluded_price"": null, ""crew_benchmark_price"": null, ""id"": 206, ""item_name"": ""高空局部防尘围挡加固"", ""notes"": ""[BIZ-2m 无底价报价沉淀]\nquote_job_id: 6c36ca83-eb62-4b27-b65a-c2205b097ce8\nquote_history_id: 176\nline_no: 6\nrequirement_row_key: -\nsource_sheet: -\nraw_row_index: -\nquantity: 8.0\nai_unit_price: 0.0\nai_total_price: 0.0\nconfirmed_unit_price: 100.0\nconfirmed_total_price: 800.0\ndraft_price_source: confirmed_unit_price\nmanual_price_action: manual_override\nfinal_price_source: manual\nprice_confirmation_label: 人工确认价\ncost_item_source: manual\nquote_source: -\nrequirement_placeholder: false\nnotice: 无成本库参考价，AI 估价，仅供参考，请人工确认价格依据"", ""price"": 100.0, ""source"": ""manual"", ""spec"": ""4m以上作业面，含膨胀螺栓、收边和二次固定；未在底层成本库中匹配到该项目，建议人工补充单价"", ""status"": ""active"", ""subcategory"": ""无底价项目"", ""subcontract_auxiliary_material_price"": null, ""subcontract_composite_price"": null, ""subcontract_labor_price"": null, ""subcontract_main_material_price"": null, ""unit"": ""处""}, ""quote_usage_count"": 2, ""right"": {""category"": ""待审核报价沉淀"", ""client_auxiliary_material_price"": null, ""client_labor_price"": null, ""client_main_material_price"": null, ""client_tax_excluded_price"": null, ""crew_benchmark_price"": null, ""id"": 207, ""item_name"": ""高空局部防尘围挡加固"", ""notes"": ""[BIZ-2m 无底价报价沉淀]\nquote_job_id: cb9c9262-22d2-46f1-abc7-26205c97d140\nquote_history_id: 177\nline_no: 6\nrequirement_row_key: -\nsource_sheet: -\nraw_row_index: -\nquantity: 8.0\nai_unit_price: 0.0\nai_total_price: 0.0\nconfirmed_unit_price: 100.0\nconfirmed_total_price: 800.0\ndraft_price_source: confirmed_unit_price\nmanual_price_action: manual_override\nfinal_price_source: manual\nprice_confirmation_label: 人工确认价\ncost_item_source: manual\nquote_source: -\nrequirement_placeholder: false\nnotice: 无成本库参考价，AI 估价，仅供参考，请人工确认价格依据"", ""price"": 100.0, ""source"": ""manual"", ""spec"": ""4m以上作业面，含膨胀螺栓、收边和二次固定；4m以上作业面，含膨胀螺栓、收边和二次固定；无底价新项，需人工定价"", ""status"": ""active"", ""subcategory"": ""无底价项目"", ""subcontract_auxiliary_material_price"": null, ""subcontract_composite_price"": null, ""subcontract_labor_price"": null, ""subcontract_main_material_price"": null, ""unit"": ""处""}, ""similarity"": 1.0}",请人工确认是否为合理拆分，或后续需要合并/补充规格说明。,cost_department,,
BIZ2T-0006,low,no,same_name_multi_spec,4,"4,5",active,imported,楼地面贴地面砖,,,,0,,"{""item_count"": 2, ""spec_count"": 2}",演示时可用于展示同名不同规格切换；治理时请确认每条规格足够可辨认。,cost_department,,
BIZ2T-0008,low,no,same_name_multi_spec,48,"48,49",active,imported,弧形夹板窗帘盒,,,,0,,"{""item_count"": 2, ""spec_count"": 2}",演示时可用于展示同名不同规格切换；治理时请确认每条规格足够可辨认。,cost_department,,
BIZ2T-0009,low,no,same_name_multi_spec,61,"61,63",active,imported,天花单向铝格栅吊顶（1.0mm）,,,,0,,"{""item_count"": 2, ""spec_count"": 2}",演示时可用于展示同名不同规格切换；治理时请确认每条规格足够可辨认。,cost_department,,
BIZ2T-0010,low,no,same_name_multi_spec,62,"62,64",active,imported,天花单向铝格栅吊顶（0.8mm）,,,,0,,"{""item_count"": 2, ""spec_count"": 2}",演示时可用于展示同名不同规格切换；治理时请确认每条规格足够可辨认。,cost_department,,
BIZ2T-0011,low,no,same_name_multi_spec,65,"65,66",active,imported,实木收口木饰面地脚线,,,,0,,"{""item_count"": 2, ""spec_count"": 2}",演示时可用于展示同名不同规格切换；治理时请确认每条规格足够可辨认。,cost_department,,
BIZ2T-0012,low,no,same_name_multi_spec,96,"96,97,98,99",active,imported,不锈钢线条安装人工（含辅材）,,,,0,,"{""item_count"": 4, ""spec_count"": 4}",演示时可用于展示同名不同规格切换；治理时请确认每条规格足够可辨认。,cost_department,,
BIZ2T-0013,low,no,same_name_multi_spec,100,"100,101",active,imported,石材线条安装人工（含辅材）,,,,0,,"{""item_count"": 2, ""spec_count"": 2}",演示时可用于展示同名不同规格切换；治理时请确认每条规格足够可辨认。,cost_department,,
BIZ2T-0014,low,no,same_name_multi_spec,111,"111,112",active,imported,砌内墙灰砂砖,,,,0,,"{""item_count"": 2, ""spec_count"": 2}",演示时可用于展示同名不同规格切换；治理时请确认每条规格足够可辨认。,cost_department,,
